Unnamed: 0,id,ad_creation_time,text_column,ad_creative_link_titles,ad_creative_link_descriptions,ad_creative_link_titles_2,ad_delivery_start_time,ad_delivery_stop_time,delivery_by_region,demographic_distribution,estimated_audience_size_lower_bound,estimated_audience_size_upper_bound,impressions_lower_bound,impressions_upper_bound,page_name,publisher_platforms,spend_lower_bound,spend_upper_bound,days_publicated,polaridad,sentimiento,translated_column
0,1.89592E+14,30/09/2021,"[""Cámaras policarbonato FULL HD1080p, DVR 1080p lite\n✔Aplicación móvil sin costo 24/7\n✔20 metros de distancia de IR LEDs\n✔Recibe alertas por movimiento en tu celular\n✔Gran Angulo de apertura 93° grados\n✔nueva generación Smart H.265+a 20mts\n✔grabación continua o por movimiento\n✔nueva generación Smart H.265+\n✔Garantía 1 año DVR y cámaras\n✔Arma tu paquete bullet o domo\n✔Técnicos especializados\n✔Gran Angulo de apertura 93°\n✔Lente fijo 3.6mm\n$1,899.00, kit 2 cámaras tipo bullet\n$2,399.00, kit 4 cámaras tipo bullet\nDisco duro de regalo para 6 días de grabación\nAtención 7 días de la semana de 10 a 9 pm\nRicardo B.Anaya 1500 col. providencia\nSolicita tu kit Tel:2445568 ✆ WhatsApp: 4441909919""]",,,,30/09/2021,05/10/2021,"[{""percentage"":""1"",""region"":""San Luis Potosi""}]","[{""percentage"":""0.00118"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.020765"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.069372"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.287636"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.231713"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.028315"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.125059"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.092261"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.00991"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.092025"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.039877"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.00118"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.000236"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.000472"",""age"":""45-54"",""gender"":""unknown""}]",1000001,,6000,6999,1Hora Mayoreo,"[""facebook""]",100,199,5,0.35,positivo,"<pad> [""FULL HD1080p polycarbonate cameras, DVR 1080p lite\n</s>"
1,3.32224E+14,30/09/2021,"[""Tu pantalla en las manos de los expertos ,más de 12 años de experiencia , no dejes que te pongan cualquier soporte de mala calidad.\nSoportes con instalación desde 499\nLos soportes ya incluyen  instalación  y garantía. 😁\n\nRicardo B Anaya San Luis Potosí \n🏨 Av. Ricardo B Anaya #1500 colonia Providencia\n🕑 Lunes a sab: 9:00 am a 9:00 pm  Dom: 11:00 am a 7:00 pm\n📞4441909919\n\nCD.Valles SLP San Luis Potosí \n🏨 Calle Carranza #413 colonia centro\n🕑 Lunes a sab: 9:00 am a 9:00 pm  Dom: 11:00 am a 7:00 pm\n📞4811551241""]",,,"[""Soporte Movil o Articulado""]",30/09/2021,05/10/2021,"[{""percentage"":""1"",""region"":""San Luis Potosi""}]","[{""percentage"":""0.000328"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.030154"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.124549"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.107833"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.000983"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.021632"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.201901"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.195346"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.153392"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.09669"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.027532"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.03802"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.000328"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.001311"",""age"":""35-44"",""gender"":""unknown""}]",500001,1000000,5000,5999,1Hora Mayoreo,"[""facebook""]",100,199,5,0.05,neutro,"<pad> [""Your screen in the hands of experts, more than 12 years of experience, do not let them put any support of poor quality.\nSupports with installation since 499\nSupports already include installation and warranty. <unk> n\nRicardo B Anaya San Luis Potosí \n<unk> Av. Ricardo B Anaya #1500 Colony Providencia\n<unk> Monday to Saturday: 9:00 am to 9:00 pm Dom: 11:00 am to 7:00 pm\n<unk> 4441909919\n\nCD.Valles SLP San Luis Potosí \n<unk> Calle Carranza #413 cologne centro\n<unk> Monday to Saturday: 9:00 am to 9:00 pm Dom: 11:00 am to 7:00 pm\n<unk> 481155124""]</s>"
2,7.60509E+14,03/08/2020,"[""Departamento en #VENTA\nCon excelente ubicación, en el corazón de la Colonia del Valle, alcaldía Benito Juárez.\nContáctanos para mayor información al tel.1557-5066 o envíanos un mensaje.\n¡Se aceptan créditos hipotecarios! \n#NoTeArriesgues\n#JuntosPorTuSeguridad""]",,,"[""Departamento en Venta""]",03/08/2020,05/08/2020,"[{""percentage"":""0.928177"",""region"":""Distrito Federal""},{""percentage"":""0.069061"",""region"":""State of Mexico""},{""percentage"":""0.002762"",""region"":""Unknown""}]","[{""percentage"":""0.203252"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.162602"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.108401"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.173442"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.149051"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.186992"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.01355"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.00271"",""age"":""25-34"",""gender"":""unknown""}]",1000001,,0,999,2 De Nosotros Inmobiliaria,"[""facebook"",""instagram"",""messenger""]",0,99,2,0.8125,positivo,"<pad> [""Department in #VENTA\nWith excellent location, in the heart of Colonia del Valle, mayoral Benito Juárez.\nContact us for more information at tel.1557-5066 or send us a message.\nWe accept mortgage credits! \n#NoTeArriesgues\n#TogetherForYourSecurity""]</s>"
3,4.79485E+14,25/09/2019,"[""Página informativa sobre asuntos referentes a nuestra secundaria.""]",,"[""Página informativa sobre asuntos referentes a nuestra secundaria.""]","[""20 mixta “Francisco Camacho Robles”""]",25/09/2019,26/09/2019,"[{""percentage"":""1"",""region"":""Jalisco""}]","[{""percentage"":""0.417341"",""age"":""13-17"",""gender"":""female""},{""percentage"":""0.053179"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.179191"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.204624"",""age"":""13-17"",""gender"":""male""},{""percentage"":""0.069364"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.016185"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.00578"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.025434"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.003468"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.00578"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.002312"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.00578"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.009249"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.002312"",""age"":""65+"",""gender"":""male""}]",,,1000,1999,20 mixta “Francisco Camacho Robles”,"[""facebook""]",0,99,1,0.16,positivo,"<pad> [""Information page on matters concerning our high school.""]</s>"
4,2.41123E+15,02/03/2021,"[""¡Este 30 de abril Ningún niño sin juguete!\n\nFelipe Meza se une a nuestra causa y recorrerá la  ciclopista Pablo \u0003Darancou (Parque Chamizal) durante 24 horas sin parar el sábado \u000324 de abril a partir de las 2pm al domingo 25 de abril a las 2pm.\n\nNuestra meta:\u0003Recabar 15,000 juguetes para niños de escasos recursos.\u0003\u0003\n\n¡Apóyanos con tu donativo!\nhttps://donadora.org/campanas/24-hrs-pedaleando""]",,,,03/03/2021,07/03/2021,"[{""percentage"":""0.971648"",""region"":""Chihuahua""},{""percentage"":""0.001116"",""region"":""New Mexico""},{""percentage"":""0.027236"",""region"":""Texas""}]","[{""percentage"":""0.000266"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.059441"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.007306"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.080494"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.047353"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.103739"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.122667"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.149366"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.128711"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.000531"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.10095"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.142193"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.050076"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.002258"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.001262"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.002457"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.00093"",""age"":""25-34"",""gender"":""unknown""}]",500001,1000000,20000,24999,24 Hrs Pedaleando Por Una Causa,"[""facebook"",""instagram""]",500,599,4,-0.071428571,neutro,"<pad> [""On April 30, No child without a toy!\n\nFelipe Meza joins our cause and will travel the cycletrack Pablo \u0003Darancou (Chamical Park) for 24 hours without stopping on Saturday \u000324 April from 2pm to Sunday 25 April at 2pm.\n\nOur goal:\u0003Recave 15,000 toys for children of limited resources.\u0003\u0003\nSupport us with your donation!\nhttps://donator.org/campanas/24-hrs-pedaling""]</s>"
5,1.26168E+15,28/09/2022,"[""Aprovecha nuestras promociones de pre-apertura en nuestra sucursal de Chapalita, Citas a partir del 10 de octubre.""]","[""api.whatsapp.com""]","[""Aprovecha nuestras promociones""]","[""Agenda una cita""]",29/09/2022,04/10/2022,"[{""percentage"":""1"",""region"":""Jalisco""}]","[{""percentage"":""0.022388"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.007463"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.011194"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.007463"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.029851"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.059701"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.123134"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.220149"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.007463"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.052239"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.253731"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.175373"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.029851"",""age"":""18-24"",""gender"":""female""}]",,,0,999,2Body Chapalita- Guadalajara,"[""facebook"",""instagram"",""audience_network"",""messenger""]",0,99,5,0,neutro,"<pad> [""Take advantage of our pre-opening promotions at our Chapalita branch, Quotes from October 10.""]</s>"
6,1.32621E+15,07/02/2023,"[""Compartimos el resultado del reciente estudio de opinión realizado por #ElBunker, rumbo a la renovación de la Secretaría General y Comité de la Sección XXII del SNTSS, en Hidalgo.\n\nLa última palabra la tiene la base trabajadora, ¿a quién erigirán como nueva o nuevo líder sindical?\n\nPlanilla Azul: Dra. Ita Mariana Pérez Reconstrucción Sindical Hidalgo\nPlanilla Blanca: Unidad Nuestra Fortaleza Sindical Hidalgo\nPlanilla Guinda: AMigos IMSS \n\nAgradecemos la confianza de los encuestados  al brindar las facilidades para el desarrollo del presente ejercicio.""]",,,,07/02/2023,08/02/2023,"[{""percentage"":""0.006211"",""region"":""Aguascalientes""},{""percentage"":""0.006211"",""region"":""Morelos""},{""percentage"":""0.062112"",""region"":""Veracruz""},{""percentage"":""0.006211"",""region"":""Tamaulipas""},{""percentage"":""0.024845"",""region"":""Tabasco""},{""percentage"":""0.006211"",""region"":""Sonora""},{""percentage"":""0.012422"",""region"":""Sinaloa""},{""percentage"":""0.006211"",""region"":""Querétaro Arteaga""},{""percentage"":""0.049689"",""region"":""Puebla""},{""percentage"":""0.204969"",""region"":""Oaxaca""},{""percentage"":""0.006211"",""region"":""Nuevo León""},{""percentage"":""0.012422"",""region"":""Nayarit""},{""percentage"":""0.062112"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.024845"",""region"":""Baja California""},{""percentage"":""0.049689"",""region"":""State of Mexico""},{""percentage"":""0.043478"",""region"":""Jalisco""},{""percentage"":""0.024845"",""region"":""Hidalgo""},{""percentage"":""0.10559"",""region"":""Guerrero""},{""percentage"":""0.024845"",""region"":""Guanajuato""},{""percentage"":""0.012422"",""region"":""Durango""},{""percentage"":""0.006211"",""region"":""Distrito Federal""},{""percentage"":""0.018634"",""region"":""Chihuahua""},{""percentage"":""0.204969"",""region"":""Chiapas""},{""percentage"":""0.006211"",""region"":""Campeche""},{""percentage"":""0.012422"",""region"":""Zacatecas""}]","[{""percentage"":""0.043478"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.031056"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.006211"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.037267"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.186335"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.018634"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.037267"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.049689"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.385093"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.136646"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.018634"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.049689"",""age"":""45-54"",""gender"":""male""}]",1000001,,0,999,3312 Agencia de estrategia,"[""facebook"",""instagram"",""messenger""]",0,99,1,-0.079545455,neutro,"<pad> [""We share the result of the recent opinion study carried out by #ElBunker, aimed at the renewal of the General Secretariat and Committee of the XXII Section of the SNTSS, in Hidalgo.\n\nThe last word has the working base, who will be raised as new or new union leader?\n\nBlue Planilla: Dr. Ita Mariana Pérez Reconstrución Sindical Hidalgo\nPlanilla Blanca: Unidad Nuestra Fortaleza Sindical Hidalgo\nPlanilla Guinda: AMigos IMSS \n\n\nWe thank the confidence of the respondents in providing the facilities for the development of this exercise.""]</s>"
7,8.08113E+14,18/08/2021,"[""Aprovecha para darle a tu cuerpo la energia necesaria! 💆🏻‍♂️ Para ello, contamos con masajes completos al 2x1🔴 Aprovecha todo este mes y alivianate con los mejores. 😁💯""]",,,,18/08/2021,26/08/2021,"[{""percentage"":""1"",""region"":""Zacatecas""}]","[{""percentage"":""0.000427"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.124573"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.06186"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.001706"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.018345"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.029863"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.200512"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.216724"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.096843"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.000853"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.104522"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.013652"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.03413"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.056314"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.036689"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.001706"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.00128"",""age"":""18-24"",""gender"":""unknown""}]",100001,500000,4000,4999,360 Recovery,"[""facebook"",""instagram""]",200,299,8,0.45,positivo,"<pad> [""Take advantage to give your body the energy necessary! <unk> To do this, we have full massages to 2x1<unk> Take all this month and relieve yourself with the best. <unk> ""]</s>"
8,2.83926E+14,01/07/2021,"[""Consultorio de Fisioterapia enfocado en tratamiento acorde a tus objetivos y necesidades""]","[""facebook.com""]","[""Consultorio de Fisioterapia enfocado en tratamiento acorde a tus objetivos y necesidades""]","[""360 Recovery""]",01/07/2021,06/07/2021,"[{""percentage"":""0.002878"",""region"":""Unknown""},{""percentage"":""0.997122"",""region"":""Zacatecas""}]","[{""percentage"":""0.000729"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.000729"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.006565"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.02407"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.003647"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.272064"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.081692"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.143691"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.159008"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.127644"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.033552"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.058352"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.016047"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.063457"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.004376"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.004376"",""age"":""25-34"",""gender"":""unknown""}]",100001,500000,2000,2999,360 Recovery,"[""facebook""]",100,199,5,0,neutro,"<pad> [""Consultatory of Physiotherapy focused on treatment according to your objectives and needs""]</s>"
9,5.62205E+14,22/07/2021,"[""¡Queremos que te sientas bien, queremos tu felicidad! #rehabilitacionfisica""]",,,,22/07/2021,23/07/2021,"[{""percentage"":""1"",""region"":""Zacatecas""}]","[{""percentage"":""0.003175"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.004762"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.073016"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.039683"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.011111"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.201587"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.136508"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.15873"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.080952"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.074603"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.073016"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.019048"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.095238"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.028571"",""age"":""55-64"",""gender"":""female""}]",100001,500000,0,999,360 Recovery,"[""facebook"",""instagram""]",0,99,1,0.7875,positivo,"<pad> [""We want you to feel good, we want your happiness! #rehabilitationphysic""]</s>"
